saya tadinya penasaran dengan tempat ini karena di tempat nya banyak sekali foto-foto kunjungan para artis ke tempat ini tapi pas saya pesan makanan unggulan di tempat ini saya rasa tidak setinggi pemikiran saya yang ada biasa saja dan keras . jadi aneh bagi saya tempat ini bisa sebegitu terkenal nya	negative
kang , jalan di muararajeun baru , baru sebulanan dibenarkan , sudah rusak lagi . yang mengerjakan seperti tidak serius	negative
melihat itu kader demokrat ribut dengan pak hnw dari pks , hanya karena demiz tidak jadi dicalonkan , jijik baca nya	negative
tak usah nonton film itu , bahasa jawa semua . sudah tidak mengerti , tidak punya teks , jelek lagi film nya . tindak pantas tayang di layar besar .	negative
ini si monyet bawah gua , nama nya saja anonim pengecut pakai simbol , bisa nya cuma mengatakan orang , memang hidup situ benar anjing ? nama saja tidak berani sebut , malu ya mending apa takut ?	negative
kami sudah bosan dengan janji-janji kalian	negative
fadli zon anjing kau . tidak usah kau sok polos .	negative
sulit sekali mengerti orang yang merasa selalu benar	negative
omongan nya pak anies itu suka kebalikkan nya . kalau percaya terus menerus bisa gila .	negative
rakyat mah tidak panik sudah biasa hampir 4 tahun belakangan ini di kibulin terus , istana itu yang panik segala jurus tipu sudah dikeluarkan tetapi tidak mempan rakyat nya dah pada pinter , kecuali penghuni kolam butek yang masih senang diumpankan tipu tipu hap hap hap	negative
ingin marah ke indosat	negative
yusri maling dan kepala maling di belakang nya . ayo pejabat jakarta , cabut ktp dki nya . rakyat miskin yang sudah dibantu dari pajak orang-orang beruang kok bergaya lagi .	negative
dasar gubernur tidak bermutu , pecat saja dari gubernur .	negative
auto mual , mie nya kelembekan , molor nya hancur , cuek	negative
pun tahu , cap cay , kangkung nya lumayan tapi kepiting saus padang nya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan kepting nya dan dikembalikan .	negative
mengapa poor ? dulu waktu saya makan di sana , interior belum bagus , parkir juga susah , rasa makanan semua manis termasuk sayur asem nya .	negative
menyesal beli first press regular karena isi photobooka nya alur seperti jodoh	negative
saya tidak suka beliau jokowi yang masih jadi presiden	negative
percayakah masyarakat indonesia dengan karangan bapak polisi yang terhormat ini ? yang kata nya sudah bertemu dengan pemotor nya ? silakan anda nilai mengarang di bawah ini . dapat nilai berapa ?	negative
meskipun saya berasal dari pekanbaru tapi jika bicara tentang masakan padang tetap lebih enak di sana daripada masakan padang di jakarta . kebanyakan masakan padang di sini sudah dimodifikasi dengan lidah masyarakat di sini . jadi , meskipun di dekat kantor ada rumah makan padang yang rasanya lumayan , tetap tidak bisa puaskan rasa rindu dengan cita rasa asli padang kok agak berlebihan ya ? hehehe	negative
orang orang pks sangat tidak berkualitas hingga kampanye negatif pun diperintahkan .	negative
orang papua memang biadab lebih baik di bom saja . keberadaan nya bikin kacau dan susah orang saja .	negative
dulu enak sekali , sekarang rasanya biasa saja . mungkin karena selera saya yang terus berubah sementara tempat ini masih mempertahankan tradisi nya . pelayanan dan suasa nya restoran masih sama seperti dahulu , terjaga tetapi bisa terus ditingkatkan agar tidak ketinggalan zaman .	negative
tidak hebat	negative
beli cimory di indomaret , tidak tau nya sudah lewat masa kadaluarsa tiga hari , kacau !	negative
negara khilafah tidak boleh ada perbedaan , semua harus salat . kita bunuh dulu mereka sebelum kita dibunuh	negative
susah ya sama orang primitif di tolikara papua yang bodoh , orang lagi salat id malah dibubarkan . si hitam yang tolol di tolikara	negative
dulu kaum babi menyebut ketua komnas ham , natalius pigai sebagai monyet manusia hitam gara-gara membela habib rizieq , nah sekarang ketika komnas menyerang fahri hamzah , kaum babi malah muji-muji komnas ham . dasar penjilat .	negative
pdip adalah partai paling korup , tidak bisa dipercaya	negative
barang saya seharusnya sampai say tapi kok bisa menyasar jauh ke papua . ini modus penipuan , ya ?!	negative
kasihan , padahal kalau tidak ada polling denny siregar cebong girang sekali , sayang , dipupus oleh kalah telak nya jokowi di polling denny .	negative
demi allah ini sadis pak anies diginiin . pak anies itu pejabat negara dan tuan rumah jakarta , sadis biadab rezim sekarang . jangan pilih pdip dan partai pendukung penista agama .	negative
kok bisa dibiarkan bangunan di atas sungai , di jalan dari rshs mnj pasar ciroyom cc aneh	negative
takut	negative
ini komikus bayaran bukan sih ? untuk keperluan politik 2019 ya ?	negative
wifi di sini selalu eror , makanan dan minuman agak mahal , lumpiah goreng asin sekali , teh susu hanya sedikit enak , lama sekali untuk pesanan	negative
cucu mantan dirut pertamina era suharto ? yakin itu harta , bukan hasil korupsi ? bermewah-mewah dari hasil korupsi ? apakah di negara ini , tidak punya budaya malu , makan hasil korupsi .	negative
malu ? minder ? jadi wni . ya situ pindah negara saja . begitu saja kok repot . malu tapi masih tinggal di indonesia . otak oon dasar	negative
saya tdi tarik uang di atm bni tamansari kec. bandung wetan , uang nya tidak keluar dari mesin tetapi sms banking saya masuk kalau misalnya ada penarikan , kacau amat sih pelayanan .	negative
jadi pendukung jokowi malah bikin tidak untung	negative
demi apa pun gua ingin marah indosat cacat banget si	negative
ibu sri tahu tidak harga karet dipetani dalam 3 tahun ini miris . listrik mahal , gas mahal dan langka . turun dari mana logika nya ? zaman bisa 13 ribu / kg . 3 tahun pe 5500 / kg	negative
kenapa korupsi meraja lela ? koruptor bebas berkeliaran , karena kantor polisi hanya diisi para pecundang mata duitan banyak bacok yang hanya mau membela yang sanggup bayar . benar-benar malang indonesia .	negative
manusia-manusia ini memang dilahirkan jadi pecundang	negative
akan terus lakukan penggusuran di kawasan sunda kelapa , habisi semua pribumi miskin	negative
ingin marah ini kok tumbenan ya telkomsel eror	negative
indonesia tidak niat jualan ya begitu deh	negative
aku agak kecewa dengan lagu nya melody echo chamber yang baru . hmm aliran nya berubah dari pyschedelic kayak ke shoegazing , terus juga rumor dia dekat sama pria baru itu semenjak putus sama kevin parker tame impala itu .	negative
payah sekali pelayanan pos indonesia saat ini	negative
